,Unnamed: 0.1,Unnamed: 0,business,Count
253,253,253,عيادات أطباء الأسنان الحكومية,0
254,254,254,المستشفيات الحكومية,0
255,255,255,عيادات الأطباء الحكومية,0
256,256,256,المصحات والاستراحات الخاصة,0
257,257,257,عيادات أطباء الأسنان الخاصة,0
258,258,258,عيادات الأطباء الخاصة,0
259,259,259,تأجير السيارات,2
260,260,260,وسائل النقل الأخرى بالسيارة,1
261,261,261,خدمات المطارات والمهابط الأخرى,0
262,262,262,صالات المسافرين,0
263,263,263,الليموزين,0
264,264,264,مرافق الحافلات الأخرى,0
265,265,265,محطات النقل داخل المدن وبين المدن,0
266,266,266,صالات ركاب سكة الحديد,0
267,267,267,الخدمات الحكومية الأخرى,2
268,268,268,خدمات الرعاية الاجتماعية,0
269,269,269,المرافق التأديبية والإصلاحية,0
270,270,270,مكاتب البريد المحلية,0
271,271,271,مرافق الخدمات البريدية الأخرى,0
272,272,272,الخدمات الأمنية الأخرى,0
273,273,273,مكاتب البريد المركزية والرئيسية,0
274,274,274,مراكز الدفاع المدني,0
275,275,275,مراكز شرطة المرور,0
276,276,276,مراكز الشرطة,0
277,277,277,الجهات الحكومية الأخرى,0
278,278,278,المكاتب الأجنبية,0
279,279,279,المكاتب الحكومية على مستوى المدنية أو المنطقة,0
280,280,280,الوزارات,0
281,281,281,قاعات المناسبات الاجتماعية,1
282,282,282,المباني التاريخية,0
283,283,283,المرافق الثقافية الأخرى,0
284,284,284,حدائق الحيوانات,0
285,285,285,المراكز الثقافية,0
286,286,286,المتاحف,0
287,287,287,المكتبات,0
288,288,288,مزارع النخيل,1
289,289,289,خدمات التعدين الأخرى,0
290,290,290,مشاتل الأشجار,0
291,291,291,أنشطة التعدين والمحاجر ومناطق الاستخراج والكسارة,0
292,292,292,المزارع غير المنتجة الأخرى,0
293,293,293,الأنشطة الأخرى المتعلقة بالزراعة,0
294,294,294,المزارع العامة أو المختلطة,0
295,295,295,الإسطبلات وتربية الخيول,0
296,296,296,مزارع الدواجن,0
297,297,297,مزارع المواشي,0
298,298,298,مزارع الفواكه والخضروات,0
299,299,299,مزارع المحاصيل الحقلية الأخرى,0
300,300,300,مصانع التجهيزات والتمديدات الكهربائية,1
301,301,301,مصانع الذهب والمجوهرات,0
302,302,302,مصانع منتجات الألبان,0
303,303,303,مصانع الأدوات الصحية والسيراميك والسخانات,0
304,304,304,مصانع التكسيات الأخرى,0
305,305,305,مصانع منتجات البترول أو التكرير الأخرى,0
306,306,306,مصانع المنتجات الزجاجية,0
307,307,307,مصانع البوظة,0
308,308,308,مصانع الأدوية,0
309,309,309,مصانع الحلوى,0
310,310,310,مصانع المرطبات,0
311,311,311,مصانع المخبوزات,0
312,312,312,مطاحن الغلال,0
313,313,313,مصانع الفواكه والخضروات المعلبة أو المحفوظة,0
314,314,314,مصانع منتجات الطباعة والنشر الأخرى,0
315,315,315,مصانع مياه الشرب الصحية,0
316,316,316,مصانع منتجات النظافة الشخصية,0
317,317,317,مصانع الثلج,0
318,318,318,مصانع الكيماويات والأسمدة الزراعية,0
319,319,319,مصانع المنتجات الغذائية الأخرى,0
320,320,320,مصانع جميع منتجات البلاستيك,0
321,321,321,مصانع الأقمشة المنسوجة,0
322,322,322,مصانع الطوب الإسمنتي أو الطوب الأحمر,0
323,323,323,مصانع السجاد والموكيت,0
324,324,324,مصانع المنتجات الخرسانية والجبسية الأخرى,0
325,325,325,مصانع منتجات النسيج الأخرى,0
326,326,326,مصانع منتجات المعادن الأساسية الأخرى,0
327,327,327,مصانع الملابس,0
328,328,328,مصانع معدات النقل,0
329,329,329,مصانع منتجات الجلود,0
330,330,330,مصانع المطابع التجارية,0
331,331,331,مصانع دباغة الجلود,0
332,332,332,مصانع مواد الطلاء,0
333,333,333,مصانع منتجات الملابس الأخرى,0
334,334,334,مصانع منتجات النظافة الصناعية والمنزلية,0
335,335,335,مصانع المنتجات الخشبية,0
336,336,336,مصانع المنتجات الطبية الأخرى,0
337,337,337,مصانع الأثاث المنزلي,0
338,338,338,مصانع العوازل,0
339,339,339,مصانع منتجات البلاستيك المنزلية,0
